timestamp,open,high,low,close,volume
2026-09-01 08:45,100,105,99,103,1000
2026-09-01 09:00,103,104,101,102,900
2026-09-01 09:15,102,103,100,101,850
2026-09-01 09:30,101,104,100,103,950
2026-09-01 09:45,103,105,100,104,1200
2026-09-01 10:00,104,108,103,107,1100
2026-09-01 10:15,107,111,106,110,1150
2026-09-01 10:30,110,116,109,115,1300
2026-09-01 10:45,115,121,114,120,1400
2026-09-01 11:00,120,165,119,160,1000
2026-09-02 08:45,200,204,198,201,1000
2026-09-02 09:00,201,203,199,200,900
2026-09-02 09:15,200,202,198,199,850
2026-09-02 09:30,199,201,197,198,950
2026-09-02 09:45,198,205,197,199,1200
2026-09-02 10:00,199,200,193,194,1100
2026-09-02 10:15,194,196,188,189,1150
2026-09-02 10:30,189,190,182,183,1300
2026-09-02 10:45,183,187,177,179,1400
2026-09-02 11:00,179,180,145,150,1000
2026-09-03 08:45,300,303,298,301,1000
2026-09-03 09:00,301,302,299,300,900
2026-09-03 09:15,300,301,298,299,850
2026-09-03 09:30,299,301,298,300,950
2026-09-03 09:45,300,304,296,301,1200
2026-09-03 10:00,301,303,298,300,1100
2026-09-03 10:15,300,302,297,299,1150
2026-09-03 10:30,299,303,296,301,1300
2026-09-03 10:45,301,303,297,300,1400
2026-09-03 11:00,300,302,298,301,1000
